timestamp,X,Y,Z
1568654744693,2.622848,3.524265,8.494628
1568654744703,3.737349,4.701015,8.962694
1568654744712,5.072116,5.750873,9.898827
1568654744723,6.302736,6.141128,10.353725
1568654744731,7.073669,5.841852,10.340557
1568654744741,7.723695,5.455189,10.150218
1568654744751,8.439561,5.711368,9.759963
1568654744761,9.412804,6.057330,9.255983
1568654744770,10.472239,6.193800,8.913613
1568654744779,11.473015,6.189012,8.674192
1568654744789,12.175713,6.153099,8.407239
1568654744799,12.441469,5.995081,8.195353
1568654744808,12.296620,5.682638,7.671022
1568654744818,11.822568,5.317522,7.019799
1568654744827,11.092337,4.847061,6.217742
1568654744837,10.184934,4.313154,5.610812
1568654744846,9.419987,3.766079,4.880580
1568654744856,8.601170,2.970007,4.481946
1568654744866,7.508216,1.838747,4.487931
1568654744875,6.181829,0.828394,4.915296
1568654744885,4.926070,0.203507,5.549759
1568654744894,4.926070,0.203507,6.482301
1568654744904,2.701857,-1.046266,7.990648
1568654744914,2.701857,-1.687912,9.740809
1568654744923,1.520318,-1.687912,9.740809
1568654744933,0.650026,-2.394202,12.107478
1568654744942,0.169988,-2.394202,12.107478
1568654744952,-0.353145,-2.765303,12.665327
1568654744962,-0.842759,-3.114856,12.996924
1568654744971,-1.431733,-3.371036,13.594277
1568654744981,-2.070984,-3.738546,14.878766
1568654744990,-2.774880,-4.283227,16.721106
1568654744999,-3.356671,-4.473566,19.000385
1568654745008,-3.080141,-4.527435,21.145590
1568654745017,-2.175132,-4.540604,22.608446
1568654745026,-0.730232,-4.255693,23.165098
1568654745036,0.591368,-3.898957,22.493525
1568654745046,1.344344,-3.740940,20.919338
1568654745056,1.649605,-3.673903,19.382259
1568654745065,1.886631,-3.496732,18.296490
1568654745075,2.382231,-3.168726,17.729063
1568654745084,3.220201,-2.961627,17.391481
1568654745093,4.180276,-3.371036,16.706739
1568654745102,4.848258,-3.797204,15.248671
1568654745111,5.187038,-4.052186,13.034034
1568654745120,5.442020,-4.126407,10.415975
1568654745130,5.898116,-4.094085,7.686584
1568654745140,6.458359,-3.800795,5.019444
1568654745149,7.049727,-3.435679,2.664747
1568654745158,7.584831,-3.019088,0.460884
1568654745168,7.864953,-2.596512,-1.898602
1568654745177,8.036138,-2.343924,-3.927688
1568654745186,8.331821,-2.062605,-5.495890
1568654745195,8.929175,-1.602918,-6.956353
1568654745205,9.600749,-1.236605,-8.664616
1568654745214,10.084377,-0.767342,-11.322180
1568654745224,10.072407,-0.262165,-14.952987
1568654745233,9.750386,0.319626,-18.737022
1568654745242,9.214086,0.842759,-21.903355
1568654745252,8.315063,1.343147,-24.748863
1568654745261,7.268796,1.758541,-27.647043
1568654745271,6.194997,1.944092,-30.777462
1568654745280,5.032612,2.166753,-33.679234
1568654745290,4.380192,2.492364,-35.187584
1568654745299,4.322731,2.779668,-34.729092
1568654745308,4.666299,2.765303,-32.905907
1568654745318,5.123591,2.589329,-30.344112
1568654745328,5.783194,2.541445,-27.453114
1568654745337,6.714539,2.290054,-24.827871
1568654745346,7.258022,1.594538,-22.570139
1568654745356,7.547721,0.746991,-20.739773
